,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,,,,,,,,,,,,,,,,,,
,BEL,0,0,BRA,0,0,HUN,0,0,SPA,0,0,AUS,0,0,AUS,1,0,VIE,1,0,BEL,0,0,SPA,0,0,SPA,0,0,SPA,0,0,VIE,0,0,SPA,0,0,VIE,0,0,VIE,0,0,AUS,1,0,SPA,0,0,VIE,0,0,GBR,0,0,AUS,0,0,AUS,1,0,AUS,0,0,BEL,0,0,AUT,0,0,NET,0,1,SPA,1,1,MON,0,1,MEX,0,0,MEX,0,0,BEL,0,0,GBR,1,0,AZE,0,0,HUN,0,0,MEX,0,0,AUT,0,0,AZE,0,0,HUN,1,0,VIE,0,1,AUT,0,1,HUN,1,1,BEL,0,1,MEX,0,1,FRA,0,1,RUS,0,1,AUS,1,1,CHI,1,1,VIE,0,1,VIE,0,2,AUT,1,2,HUN,1,2,BEL,1,2,MEX,0,2,RUS,0,2,AUS,1,2,VIE,1,2,BRA,0,1,USA,1,1,CAN,0,1,BRA,1,0,BRA,1,1,USA,1,1,CAN,0,1,MEX,1,1,BRA,0,1,AUS,0,1,GBR,1,1,HUN,0,1,VIE,1,1,ITA,0,1,,,
1,VET,222@,3,RAI*,44@,4,ALB,332,3,RAI**,44@,2,VET,@44,2,RAI**,332,3,VER,223,2,RAI**,222,4,RAI**,332,7,ALB*,323,6,RAI**,332,6,RAI*,223,5,GIO**,341,2,HAM,223,1,RAI**,322,5,VER,24@2@,2,VET,44,2,RAI**,232,4,RAI**,232,2,ALB,4@22,7,VER,$44,2,RAI**,332,4,RAI**,222,13,RAI*,5@4,5,RAI**,$43,4,ALB*,5@3,6,HAM,44,2,RAI*,44,3,HAM,44@,1,RAI**,222,3,HAM,223@,1,HAM,323@,1,VER,332,2,RAI*,35@,5,RAI*,5@4,4,VET,2222,2,RAI*,44@,4,ALB**,232,7,HAM,$54,1,HAM,$44,1,RAI*,222,5,RAI*,35@,3,RAI**,332,5,RAI**,332,3,VER,$44,2,RAI*,323,5,RAI*,223,4,RAI*,322,4,ALB**,342,3,HAM,$44,1,RAI*,222,2,RAI*,53,2,RAI*,323,4,VER,$44,2,RAI*,223,3,RAI**,332,2,HAM,$332,1,RAI*,35@,4,RAI*,332,8,RAI*,323,3,HAM,$332,1,VER,44,2,VER,332@,2,RAI*,44@,4,GRO**,332,3,HAM,$331,1,RAI*,44,5,HAM**,$34,3,RAI*,323@,7,,,
2,RAI**,222,11,RAI,332,3,RAI*,4@4,5,RAI*,332,5,RAI*,5@3,7,VET,5@3,5,HAM,3@22@,1,ALB**,222,5,HAM,44@,1,HAM,332@,1,ALB*,323,7,VER,223@,2,RAI*,$24,7,VET,322,3,RAI*,223,7,VET,35@,3,RAI*,4@4,9,VER,322,2,RAI*,322,5,RAI*,35@,5,HAM,$44,1,HAM,24@2,1,HAM,@33,1,ALB**,5@4,3,VER,$43,3,VET,44,3,RAI*,44,6,GRO**,44,9,VET,44@,2,RAI*,222,6,VER,4@3,2,ALB*,422,3,RAI*,44,3,ALB**,44,4,RAI**,5@4,5,RAI*,323@,4,RAI**,332@,5,HAM,322@,1,VER,$45,2,VET,$44,3,ALB*,@33,10,VER,35@,2,RAI*,323@,3,RAI*,323@,4,HAM,$44,1,RAI**,332,3,ALB*,322,7,ALB*,322,10,ALB*,5@4,7,ALB*,$35,7,ALB*,222,9,HAM,332,1,VET,323,2,HAM,$44,1,RAI**,232,6,RAI*,4@4,4,ALB*,$332,5,ALB*,332,6,VET,332,3,ALB*,332,4,VER,$332,2,HAM,5@3,1,RAI*,35@,5,ALB*,5@3,8,HAM,323@,2,ALB*,$322,8,HAM,35@,1,HAM,$43,1,VET,323,6,,,
3,VER,@33,2,GRO,332,10,HAM,@53,1,ALB**,44@,6,HAM,@53,1,ALB**,4@22,6,RAI**,223,9,VET,222@,3,RAI*,323,5,ALB,35@,4,VET,332,2,VET,322,3,HAM,@53,1,RAI*,322,7,ALB**,232,8,HAM,@53,1,ALB,35@,5,RAI*,223,7,HAM,4@3,1,VER,@53,2,VET,$44,3,VET,@53,3,GRO**,222,11,VER,333,2,VET,$43,2,RAI*,53,4,RAI**,6@2,4,ALB*,5@3,5,RAI*,35@,6,ALB**,222,9,ALB*,3@22,8,VER,2222,2,VET,44,5,RAI**,44,7,HAM**,333,11,HAM,3@3@2,1,HAM,5@3,1,ALB*,322,9,VET,$54,4,ALB**,$44,4,HAM,@33,1,HAM,332,1,GRO**,332,6,ALB*,4@22,6,ALB*,$44,5,HAM,323@,1,RAI**,322,3,RAI**,223@,2,VET,333,4,HAM**,$44,3,BOT,2@22,4,RAI**,5@3,10,ALB*,323@,9,VET,$44,3,ALB*,223,8,HAM,44,1,VER,$332,2,HAM,35@,1,HAM**,@44,4,HAM,44,1,ALB**,$314,3,RAI**,35@,4,ALB**,5@3,6,RAI**,332,7,RAI*,@44,6,VER,$331,2,VER,5@3,3,VER,$43,2,ALB*,4@22,8,,,
4,HAM,13@2@,1,ALB*,5@3,12,VER,@53,2,HAM,332,1,ALB*,@44,10,HAM,24@2,1,RAI*,@43,10,RAI*,@33,9,VER,35@,3,VER,44@,5,HAM,332@,1,ALB*,322,6,VER,4@4,3,RAI**,223,8,VER,223@,2,RAI**,5@3,8,VER,44@,4,ALB*,322,11,VET,223,4,HAM,4@31$,1,RAI,$44,5,RAI*,@44,6,ALB*,222,8,ALB*,5@4,11,HAM,$43,1,VER,332,2,ALB*,44,7,VER,44,2,RAI**,332@,5,HAM,13@2,1,RAI*,@43,10,RAI*,@44,4,LEC,35@,4,HAM,@62,1,HAM,36@,1,RAI**,23@3@,14,ALB**,332,8,RAI**,232,6,ALB*,$54,3,VER,$53,2,VET,@33,3,BOT,5@3,4,ALB*,4@22,12,GRO**,332,10,VET,$44,4,VET,323,4,ALB**,232,9,ALB**,223,7,RAI*,@54,8,RAI*,$44,6,HAM,3@21,1,VER,@53,3,HAM,224@,1,ALB*,$44,5,ALB**,232,9,ALB*,4@4,9,VET,$332,3,GRO**,44@,3,RAI,332,6,VER,35@,2,RAI**,$422,5,RAI*,44,7,HAM,@53,1,VER,44@,2,ALB**,@44,5,HAM**,$331,4,RAI**,@53,2,ALB*,$322,8,GRO**,332,11,,,
5,RAI,2@22,5,ALB**,332,11,RAI**,35@,6,VER,35@,2,VER,323@,3,RAI*,5@3,9,VET,@34,4,ALB*,@33,15,ALB*,5@3,12,VET,5@3,2,ALB**,332,10,HAM,4@3,1,ALB,35@,5,VER,23@2,2,HAM,34@,1,ALB**,4@22@,7,RAI,4@4,3,HAM,34@,1,ALB**,@43,8,VET,4@31$,3,ALB**,3$4$1,9,RAI,35@,5,RAI*,@33,6,GRO**,333,6,ALB**,$43,11,RAI**,35@,9,VER,6@2,1,HAM,5@3,1,VER,332@,3,VER,3@12,2,ALB,3@22,4,ALB,@332,5,RAI**,35@,6,BOT,5@3,6,ALB*,5@4,8,VER,@332,3,ALB*,5@3,12,RAI*,223,4,RAI*,$54,7,ALB*,$53,8,RAI**,23@1@,6,ALB*,4@4,10,HAM,34@1@,1,HAM,4@22,1,HAM**,$332,3,ALB*,4@22,6,HAM,34@,2,VER,24@1,3,VER,5@4,2,VER,$53,2,VER,3@12,3,BOT,5@3,4,VER,24@2@,3,RAI**,$44,6,HAM,322@,2,HAM**,332,6,ALB**,$44,4,VET,@53,5,VER,@53,2,LEC,5@3,5,VET,$44,4,BOT,@44,5,RAI**,35@,5,HAM,44@,1,ALB*,@44,11,VET,$43,3,LEC,332,8,RAI*,$34,6,RAI**,24@2,5,,,
6,RAI*,222,6,VER,@53,1,ALB*,5@3,10,ALB*,5@3,14,BOT,@44,9,ALB*,@44,10,HAM**,3@22@,3,VER,13@2,2,ALB**,332,6,GRO**,332,12,RAI*,4@4,9,RAI,223,4,LEC,4@4,10,ALB*,322,14,ALB*,@43,13,ALB*,@44,9,LEC,35@,7,ALB**,232,10,VER,@34,3,ALB*,@44,14,ALB,$332,4,GRO,@44,10,VET,@33,2,HAM,5@4,1,RAI*,$43,5,HAM,5@3,1,ALB**,341@,7,RAI**,35@,7,LEC,332,4,VET,222@,5,RAI,322,5,BOT,222@,6,BOT,4@4,7,VER,6@2,2,VER,36@,2,BOT,224@,5,ALB,332,7,BOT,23@2,5,RAI**,$54,6,RAI**,$53,6,LEC,2@3@1,11,RAI**,5@3,5,VET,34@1,2,VER,23@3,2,RAI*,$44,8,VER,4@22,2,BOT,223,5,HAM,@34,1,HAM,@54,1,VET,$44,4,VET,3@21,7,ALB*,35@,8,RAI**,23@3,7,RAI*,$53,7,VER,223@,1,VER,35@,3,RAI**,$332,6,RAI**,35@,8,RAI**,@53,10,BOT,35@,7,ALB*,$332,8,RAI,332,8,ALB,5@3,7,VET,44@,3,VER,@53,1,RAI*,$43,7,GRO**,6@2,4,RAI**,$322,4,VER,23@3,2,,,
7,ALB*,@33,10,VET,44@,6,VET,@53,4,VET,35@,7,RAI,4@22,4,VER,2231$,2,ALB,23@2@,5,HAM,3@12@,1,VET,44@,4,RAI*,5@3,10,RAI,5@3,3,ALB**,322,15,ALB*,@44,11,BOT,@34,5,BOT,223,6,ALB,24@2,5,RAI**,4@4,6,ALB,23@2,5,ALB*,@43,11,RAI,4@22,4,ALB*,$44,7,VER,2222@,2,ALB,2@3@1,3,VET,45@,4,ALB*,$43,8,ALB,44@,5,VET,@71,5,ALB,35@,8,ALB*,35@,12,RAI,2112,4,VET,223@,3,VET,2222,7,RAI,35@,8,VET,44@,3,LEC,5@4,10,ALB*,4@22,13,VER,@53,2,VER,4@3,2,BOT,$45,5,RAI*,$35,7,VER,3@12@,2,ALB**,332,6,LEC,23@3,10,VET,323@,7,ALB,$332,6,BOT,224@,7,VET,223,6,BOT,23@2@,5,RAI**,342,6,RAI**,$44,5,RAI**,13@2,6,ALB**,332,9,RAI,33@2@,6,ALB**,$332,4,VET,24@1,4,VET,5@3,5,RAI*,$332,7,VER,@53,2,HAM,@53,1,GRO,332,10,RAI*,$44,6,VET,332,3,ALB*,44,6,ALB,332,5,LEC,@44,12,ALB**,$322,6,ALB*,5@3,11,VET,$43,5,LEC,23@3@,4,,,
8,HAM**,222,16,HAM,@53,2,GRO**,5@3,11,RAI,4@4,4,ALB,224@,6,PER,24@2,7,PER,3@22@,7,RAI,3@12@,6,RAI,35@,2,RAI,4@4,3,VER,5@3,4,RAI**,322,13,RAI,35@,4,ALB,223@,4,VET,@43,3,RAI*,5@3,10,GRO,5@3,13,VET,223@,3,RAI,34@,6,RAI**,@44,8,RAI*,$35,8,LEC,4@22@,8,VER,13@2,5,RAI,432,7,BOT,$34,6,RAI,5@3,12,BOT,@53,8,BOT,35@,4,RAI,@53,7,ALB*,222,12,PER,@34,7,PER**,33@2,10,HAM,@53,1,ALB,5@3,10,ALB,@54,3,ALB,23@3@,7,BOT,@44,6,VET,@43,3,ALB,$45,12,ALB,$44,5,RAI,@33,8,LEC,5@3,7,BOT,2222@,8,NOR,224@,11,RAI**,$422,8,RAI,323@,9,VER,223@,1,VET,223@,6,ALB,35@1,5,ALB,$44,8,SAI,3@21,13,RAI,332@,6,ALB,3@23,8,STR,$44,10,ALB,3@22,9,BOT,332@,8,NOR,$332,12,BOT,@44,7,ALB*,@44,11,VET,332,6,LEC,$332,14,GRO**,35@,9,PER,5@3,10,LEC,332,10,BOT,24@2,4,ALB,$331,7,RAI,5@3,9,ALB,$331,7,HAM,3@23,1,,,
9,LEC,13@2,7,LEC,332,5,LEC,35@,8,ALB,35@,9,RAI**,2222@,5,RAI,24@2@,4,RAI,@43,6,LEC,13@2@,7,STR,35@,14,RAI**,4@4,7,ALB,@44,5,ALB,223@,10,GRO**,332,8,PER,223,11,ALB,23@2,10,RAI,224@,4,HAM,@53,1,NOR,2221,12,KVY,23@2,15,ALB**,224@,10,GRO,$44,11,ALB*,@44,9,RAI,3@12@,4,GRO,5@4,14,ALB,$34,9,GRO,5@3,18,ALB,5@3,10,LEC,332,6,GRO,44,11,BOT,2@13@,8,OCO,23@2,15,NOR,224@,11,ALB,332,9,ALB*,35@,4,VET,@63,7,RAI,33@2@,8,VET,@53,3,LEC,23@2,8,RAI,$45,8,BOT,$44,9,NOR,12@3@,7,ALB,@53,9,ALB,3@23,7,RAI,4@22,9,RAI,$44,11,ALB**,332,8,GRO,322,10,LEC,3@22@,9,GRO,5@4,14,PER,$44,10,NOR,2@22@,10,VET,@53,5,BOT,@332,5,ALB,$332,8,BOT,23@2@,5,LEC,332@,7,PER,$332,9,RAI,@44,9,PER,35@,7,RAI,35@,8,PER,$332,9,ALB*,35@,6,STR,332,9,BOT,35@,6,ALB,4@22,8,PER,$322,9,VET,44@,7,PER,$331,9,BOT,23@21@,3,,,
