Wet Q,RAI Q,ALB Q,Wet R,RAI R,ALB R,RAI str,ALB str,mistake?,,,,,BAH
,,,,,,,,,,,1,2,por
1,6,10,1,4,7,44,332,0,,26,27,28,por
1,4,8,1,1,6,323,332,0,,11,38,39,por
,,,,,,,,,,,1,2,tur
0,2,4,0,2,1,233,332,tyre temps,,21,22,23,tur
0,3,4,0,3,1,224@,3@32,rai break,,11,33,34,tur
,,,,,,,,,,,1,2,bah
0,10,2,0,2,1,323,332,0,,1,2,3,bah
,,,,,,,,,,6,8,9,bah
,,,,,,,,,,4,12,13,bah
,,,,,,,,,,2,14,15,bah
,,,,,,,,,,4,18,19,bah
0,2,16,0,1,8,332,@44,0,,2,20,21,bah
0,7,8,0,3,5,33@2,4@22,0,,9,29,30,bah
0,2,9,0,DNF,5,332,@44,no boost ,,2,31,32,bah
0,4,7,0,1,2,233,33@2,0,,9,40,41,bah
,,,,,,,,,,,1,2,sak
0,3,14,0,1,3,323,4@22,0,,1,2,3,sak
0,3,17,0,1,6,323@,@44,0,,4,6,7,sak
0,2,11,0,1,6,323,@44,0,,2,8,9,sak
0,5,17,0,2,5,323,@422,0,,4,12,13,sak
0,3,5,0,1,2,323@,3@23,0,,2,14,15,sak
0,8,5,0,7,1,323@,323@,0,,4,18,19,sak
0,5,9,0,3,5,33@2,4@22,winner 233,,2,20,21,sak
0,2,15,0,1,6,323,@44,0,,9,29,30,sak
0.12,4.2,9.5,0.12,2.1,4.1,,,,,,,,
