,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?,track,quali wet?,comp?
,BEL,0,0,BRA,0,0,HUN,0,0,SPA,0,0,AUS,0,0,AUS,1,0,VIE,1,0,BEL,0,0,SPA,0,0,SPA,0,0,SPA,0,0,VIE,0,0,GBR,1,0,BEL,0,0,GBR,1,0,SPA,0,0,GBR,0,0,VIE,0,0,VIE,0,0,AUS,1,0,SPA,0,0,VIE,0,0
1,VET,222@,3,RAI*,44@,4,ALB,332,3,RAI**,44@,2,VET,@44,2,RAI**,332,3,VER,223,2,RAI**,222,4,RAI**,332,7,ALB*,323,6,RAI**,332,6,RAI*,223,5,HAM,$331,,VET,222,,HAM,322,,GIO**,341,2,RAI**,223,,HAM,223,1,RAI**,322,5,VER,24@2@,2,VET,44,2,RAI**,232,4
2,RAI**,222,11,RAI,332,3,RAI*,4@4,5,RAI*,332,5,RAI*,5@3,7,VET,5@3,5,HAM,3@22@,1,ALB**,222,5,HAM,44@,1,HAM,332@,1,ALB*,323,7,VER,223@,2,VER,$331,,RAI*,222,,VER,4@3,,RAI*,$24,7,RAI*,@43,,VET,322,3,RAI*,223,7,VET,35@,3,RAI*,4@4,9,VER,322,2
3,VER,@33,2,GRO,332,10,HAM,@53,1,ALB**,44@,6,HAM,@53,1,ALB**,4@22,6,RAI**,223,9,VET,222@,3,RAI*,323,5,ALB,35@,4,VET,332,2,VET,322,3,ALB**,$34,,HAM,3@12,,ALB,3@22,,HAM,@53,1,HAM,24@1,,RAI*,322,7,ALB**,232,8,HAM,@53,1,ALB,35@,5,RAI*,223,7
4,HAM,13@2@,1,ALB*,5@3,12,VER,@53,2,HAM,332,1,ALB*,@44,10,HAM,24@2,1,RAI*,@43,10,RAI*,@33,9,VER,35@,3,VER,44@,5,HAM,332@,1,ALB*,322,6,VET,$43,,RAI**,3@12,,RAI,@43,,VER,4@4,3,RAI,34@,,RAI**,223,8,VER,223@,2,RAI**,5@3,8,VER,44@,4,ALB*,322,11
5,RAI,2@22,5,ALB**,332,11,RAI**,35@,6,VER,35@,2,VER,323@,3,RAI*,5@3,9,VET,@34,4,ALB*,@33,15,ALB*,5@3,12,VET,5@3,2,ALB**,332,10,HAM,4@3,1,RAI**,$43,,VER,@33,,VET,34@,,ALB,35@,5,VET,23@2,,VER,23@2,2,HAM,34@,1,ALB**,4@22@,7,RAI,4@4,3,HAM,34@,1
6,RAI*,222,6,VER,@53,1,ALB*,5@3,10,ALB*,5@3,14,BOT,@44,9,ALB*,@44,10,HAM**,3@22@,3,VER,13@2,2,ALB**,332,6,GRO**,332,12,RAI*,4@4,9,RAI,223,4,ALB,$331,,RAI,@33,,ALB*,@43,,LEC,4@4,10,BOT,3@22,,ALB*,322,14,ALB*,@43,13,ALB*,@44,9,LEC,35@,7,ALB**,232,10
7,ALB*,@33,10,VET,44@,6,VET,@53,4,VET,35@,7,RAI,4@22,4,VER,2231$,2,ALB,23@2@,5,HAM,3@12@,1,VET,44@,4,RAI*,5@3,10,RAI,5@3,3,ALB**,322,15,RAI,$331,,ALB*,222,,RAI*,@43,,ALB*,@44,11,HAM**,223,,BOT,@34,5,BOT,223,6,ALB,24@2,5,RAI**,4@4,6,ALB,23@2,5
8,HAM**,222,16,HAM,@53,2,GRO**,5@3,11,RAI,4@4,4,ALB,224@,6,PER,24@2,7,PER,3@22@,7,RAI,3@12@,6,RAI,35@,2,RAI,4@4,3,VER,5@3,4,RAI**,322,13,ALB*,$34,,ALB,@222,,GRO**,322,,RAI,35@,4,VER,223@,,ALB,223@,4,VET,@43,3,RAI*,5@3,10,GRO,5@3,13,VET,223@,3
9,LEC,13@2,7,LEC,332,5,LEC,35@,8,ALB,35@,9,RAI**,2222@,5,RAI,24@2@,4,RAI,@43,6,LEC,13@2@,7,STR,35@,14,RAI**,4@4,7,ALB,@44,5,ALB,223@,10,PER,$223,,KVY,2@22,,ALB**,2221@,,GRO**,332,8,ALB*,@43,,PER,223,11,ALB,23@2,10,RAI,224@,4,HAM,@53,1,NOR,2221,12
10,GRO,3@21,8,ALB,35@,9,BOT,@44,7,LEC,4@4,13,LEC,24@2@,8,ALB,24@2@,8,STR,4@3,11,GRO,13@2@,8,LEC,332,11,LEC,332@,8,PER,35@,11,LEC,23@2@,9,RAI*,$43,,MAG**,@222,,PER,223@,,VET,35@,6,ALB,@34,,LEC,23@2,9,GRO,223,9,STR,4@22@,11,BOT,4@31,8,RAI,322@,6
11,ALB,1113@,4,MAG,233,13,RAI,35@,9,BOT,@44,8,GRO,@44,14,LEC,@44,20,GRO,23@2@,12,NOR,2@13@,12,BOT,332@,8,GRO,@53,9,GRO,35@,17,MAG,2221,11,STR,$232,,SAI,222,,MAG,@34,,GRO,332,15,MAG,3@22@,,GRO,4@3,13,RAI,34@,4,PER,233@,6,ALB**,332,12,LEC,@34,8
12,RIC,12@3@,17,BOT,35@,7,GRO,5@3,12,PER,332,12,SAI,@44,16,GRO,323@,13,ALB*,233,8,STR,@33,18,ALB,@44,9,BOT,@44,11,LEC,4@4,13,BOT,@34,8,GAS,$223,,GAS,3@21,,KVY,223@@43,,MAG,@44,14,KVY,2221@,,RAI,@43,6,LEC,23@2,11,KVY,3@23@,20,PER,35@,11,BOT,223,9
13,RUS,23@1@,20,PER,332,14,PER,35@,14,GRO,332@,11,GRO**,224@,13,RUS,323@,16,NOR,23@2,14,GAS,22@2,19,PER,431,10,NOR,@44,16,SAI,5@3,18,GRO,322,7,BOT,$331,,STR,3@21@,,RIC,2221,,BOT,4@31,9,GRO,4@3@,,ALB**,223,17,SAI,223@,20,GAS,@44,17,NOR,233@,10,MAG,@34,15
14,KVY,1212@,14,STR,44,16,RIC,5@3,19,NOR,233@,10,MAG,3@3@2,15,STR,323@,11,KVY,23@2@,15,MAG,@231,14,KVY,4@31,15,RUS,332@,22,NOR,@44,12,RIC,23@2,17,OCO,$223,,PER,@222,,BOT,3@3@1,,PER,35@,13,PER,223@,,MAG,@34,12,GAS,223@,22,BOT,4@22,12,SAI,@44,15,KVY,223@,21
